Gene,Drug,Interaction Type,Directionality,Source,PMID,Interaction Score
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=PLTP"" target=""_blank"">PLTP</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SIMVASTATIN"" target=""_blank"">SIMVASTATIN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/11566255/"" target=""_blank"">11566255</a>",0.696050647451807
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=PLTP"" target=""_blank"">PLTP</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=VITAMIN%20E"" target=""_blank"">VITAMIN E</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12105225/"" target=""_blank"">12105225</a>",4.350316546573794
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=PLTP"" target=""_blank"">PLTP</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ALPHA-TOCOPHEROL"" target=""_blank"">ALPHA-TOCOPHEROL</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15576481/"" target=""_blank"">15576481</a>",4.745799868989594
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TRIAMCINOLONE"" target=""_blank"">TRIAMCINOLONE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/9150415/"" target=""_blank"">9150415</a>",0.07826656455605027
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AZ7188"" target=""_blank"">AZ7188</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=PRAVASTATIN%20SODIUM"" target=""_blank"">PRAVASTATIN SODIUM</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/19667110/"" target=""_blank"">19667110</a>",0.1333430359103078
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LUTEIN"" target=""_blank"">LUTEIN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/11413081/"" target=""_blank"">11413081</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TRETINOIN"" target=""_blank"">TRETINOIN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/3468509/"" target=""_blank"">3468509</a>",0.01978165917350721
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LECANEMAB"" target=""_blank"">LECANEMAB</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.450032746197289
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=PHYTOSTEROL"" target=""_blank"">PHYTOSTEROL</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/16677856/"" target=""_blank"">16677856</a>",0.9000654923945781
