Gene,Drug,Interaction Type,Directionality,Source,PMID,Interaction Score
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFIT2"" target=""_blank"">IFIT2</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RECOMBINANT%20INTERFERON"" target=""_blank"">RECOMBINANT INTERFERON</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12433283/"" target=""_blank"">12433283</a>",2.677117874814642
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=OASL"" target=""_blank"">OASL</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RIBAVIRIN"" target=""_blank"">RIBAVIRIN</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/21993426/"" target=""_blank"">21993426</a>",1.37378417260225
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=OASL"" target=""_blank"">OASL</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=PEGINTERFERON%20ALFA-2B"" target=""_blank"">PEGINTERFERON ALFA-2B</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/21993426/"" target=""_blank"">21993426</a>",1.631368704965172
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFNB1"" target=""_blank"">IFNB1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=DAZUKIBART"" target=""_blank"">DAZUKIBART</a>",inhibitor,INHIBITORY,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",26.10189927944276
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFNB1"" target=""_blank"">IFNB1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LYOPHILIZED%20HUMAN%20RECOMBINANT%20INTERFERON-BETA%201A%20FP-1201"" target=""_blank"">LYOPHILIZED HUMAN RECOMBINANT INTERFERON-BETA 1A FP-1201</a>",N/A,N/A,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",13.05094963972138
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFNB1"" target=""_blank"">IFNB1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=INTERFERON%20BETA-1A"" target=""_blank"">INTERFERON BETA-1A</a>",N/A,N/A,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.8700633093147588
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFNB1"" target=""_blank"">IFNB1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=PEGINTERFERON%20BETA-1A"" target=""_blank"">PEGINTERFERON BETA-1A</a>",N/A,N/A,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",4.350316546573794
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFI27"" target=""_blank"">IFI27</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RETINOIC%20ACID%20AGENT"" target=""_blank"">RETINOIC ACID AGENT</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15086558/"" target=""_blank"">15086558</a>",0.8419967509497666
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFI27"" target=""_blank"">IFI27</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=VITAMIN%20D"" target=""_blank"">VITAMIN D</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15086558/"" target=""_blank"">15086558</a>",2.007838406110982
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFI27"" target=""_blank"">IFI27</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TNF-ALPHA"" target=""_blank"">TNF-ALPHA</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15086558/"" target=""_blank"">15086558</a>",1.087579136643448
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=IFI27"" target=""_blank"">IFI27</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RECOMBINANT%20TRANSFORMING%20GROWTH%20FACTOR-BETA%201"" target=""_blank"">RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15086558/"" target=""_blank"">15086558</a>",1.242947584735369
