Gene,Drug,Interaction Type,Directionality,Source,PMID,Interaction Score
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%5BD-PHE2%5DAVP"" target=""_blank"">D[D-PHE2]AVP</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5B3H%5DAVP%20%28HUMAN%2C%20MOUSE%2C%20RAT%29"" target=""_blank"">[3H]AVP (HUMAN, MOUSE, RAT)</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BPHAA1%2CD-TYR2%2CVAL4%2CARG6%2CARG-NH29%5DAVP"" target=""_blank"">[PHAA1,D-TYR2,VAL4,ARG6,ARG-NH29]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=THERAPEUTIC%20HORMONE"" target=""_blank"">THERAPEUTIC HORMONE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15647391/"" target=""_blank"">15647391</a>",0.03766507832531424
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=3-N3-PHPA-LVA"" target=""_blank"">3-N3-PHPA-LVA</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.8286317231569131
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ME%292%2CARG8%5DVP"" target=""_blank"">D(CH2)5[TYR(ME)2,ARG8]VP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.8286317231569131
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=BALOVAPTAN"" target=""_blank"">BALOVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.1657263446313826
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=THERAPEUTIC%20ANDROSTANOLONE"" target=""_blank"">THERAPEUTIC ANDROSTANOLONE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15850448/"" target=""_blank"">15850448</a>",0.08722439191125402
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ME%292%2CTHR4%2CTYR%283125I%29-NH29%5DOVT"" target=""_blank"">D(CH2)5[TYR(ME)2,THR4,TYR(3125I)-NH29]OVT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BPHAA1%2CD-TYR%28ET%292%2CLYS6%2CDES-GLY9%5DAVP"" target=""_blank"">[PHAA1,D-TYR(ET)2,LYS6,DES-GLY9]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RELCOVAPTAN"" target=""_blank"">RELCOVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.09207019146187924
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SSR126768A"" target=""_blank"">SSR126768A</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BPHAA1%2CD-TYR%28ME%292%2CARG6%2CTYR-NH29%5DAVP"" target=""_blank"">[PHAA1,D-TYR(ME)2,ARG6,TYR-NH29]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=THERAPEUTIC%20ANDROGEN"" target=""_blank"">THERAPEUTIC ANDROGEN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12021052/"" target=""_blank"">12021052</a>",0.0974860850772839
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BD-ILE2%2CILE4%2CALA-NH29%5DAVP"" target=""_blank"">D(CH2)5[D-ILE2,ILE4,ALA-NH29]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ME%292%2CTHR4%2CPHE%283I%2C4N3%29-NH29%5DOVT"" target=""_blank"">D(CH2)5[TYR(ME)2,THR4,PHE(3I,4N3)-NH29]OVT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5B3H%5DD%28CH2%295%5BTYR%28ME%292%5DAVP"" target=""_blank"">[3H]D(CH2)5[TYR(ME)2]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.8286317231569131
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ME%292%2CTHR4%2CPHE%283125I%2C4N3%29-NH29%5DOVT"" target=""_blank"">D(CH2)5[TYR(ME)2,THR4,PHE(3125I,4N3)-NH29]OVT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SRX246"" target=""_blank"">SRX246</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BD-TYR%28ET%292%2CVAL4%2CTYR-NH29%5DAVP"" target=""_blank"">D(CH2)5[D-TYR(ET)2,VAL4,TYR-NH29]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=OPC-21268"" target=""_blank"">OPC-21268</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=MOZAVAPTAN"" target=""_blank"">MOZAVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.1381052871928188
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=CISPLATIN"" target=""_blank"">CISPLATIN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12396244/"" target=""_blank"">12396244</a>",0.01127390099533215
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BD-ILE2%2CILE4%2CALA-NH2%5DAVP"" target=""_blank"">D(CH2)5[D-ILE2,ILE4,ALA-NH2]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SELEPRESSIN"" target=""_blank"">SELEPRESSIN</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=L023103"" target=""_blank"">L023103</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SATAVAPTAN"" target=""_blank"">SATAVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=YM%20471"" target=""_blank"">YM 471</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LVP"" target=""_blank"">LVP</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ME%292%2CTHR4%5DOVT"" target=""_blank"">D(CH2)5[TYR(ME)2,THR4]OVT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%5BD-PAL2%5DAVP"" target=""_blank"">D[D-PAL2]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BVAL4%5DAVP"" target=""_blank"">[VAL4]AVP</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=OH-LVA"" target=""_blank"">OH-LVA</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=OPC-51803"" target=""_blank"">OPC-51803</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=F180"" target=""_blank"">F180</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.8286317231569131
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BTBAA1%2CD-TYR%28ET%292%2CVAL4%2CLYS6%2CARG-NH28%2CDES-GLY9%5DAVP"" target=""_blank"">[TBAA1,D-TYR(ET)2,VAL4,LYS6,ARG-NH28,DES-GLY9]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%5BLEU4%5DAVP"" target=""_blank"">D[LEU4]AVP</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LIT-001"" target=""_blank"">LIT-001</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=NELIVAPTAN"" target=""_blank"">NELIVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.1035789653946141
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RWJ-351647"" target=""_blank"">RWJ-351647</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BTHR4%2CGLY7%5DOT"" target=""_blank"">[THR4,GLY7]OT</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ET%292%2CVAL4%2CDES-GLY9%5DAVP"" target=""_blank"">D(CH2)5[TYR(ET)2,VAL4,DES-GLY9]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5BPHAA1%2CD-TYR%28ET%292%2CVAL4%2CLYS6%2CTYR-NH28%2CDES-GLY9%5DAVP"" target=""_blank"">[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TOLVAPTAN"" target=""_blank"">TOLVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=DVDAVP"" target=""_blank"">DVDAVP</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=FLUTAMIDE"" target=""_blank"">FLUTAMIDE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12021052/"" target=""_blank"">12021052</a>",0.0828631723156913
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%28CH2%295%5BTYR%28ME%292%2CTHR4%2CTYR-NH29%5DOVT"" target=""_blank"">D(CH2)5[TYR(ME)2,THR4,TYR-NH29]OVT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5B125I%5DOH-LVA"" target=""_blank"">[125I]OH-LVA</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.8286317231569131
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TESTOSTERONE"" target=""_blank"">TESTOSTERONE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12002438/"" target=""_blank"">12002438</a>",0.063740901781301
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=DESMOPRESSIN"" target=""_blank"">DESMOPRESSIN</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.09207019146187924
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=D%5BCHA4%5DAVP"" target=""_blank"">D[CHA4]AVP</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ATOSIBAN"" target=""_blank"">ATOSIBAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.1035789653946141
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LS-192629"" target=""_blank"">LS-192629</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.4143158615784565
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=YM%20218"" target=""_blank"">YM 218</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RO5028442"" target=""_blank"">RO5028442</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2762105743856377
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ANTISERUM"" target=""_blank"">ANTISERUM</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/16035648/"" target=""_blank"">16035648</a>",0.04735038418039504
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=AQP9"" target=""_blank"">AQP9</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=CONIVAPTAN"" target=""_blank"">CONIVAPTAN</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2071579307892282
