Gene,Gene Name,log_2 fold change,Adjusted p-value
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000131016"" target=""_blank"">ENSG00000131016</a>",AKAP12,41.8,9.218218984843141e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134193"" target=""_blank"">ENSG00000134193</a>",REG4,23.5,1.264859308043673e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000173467"" target=""_blank"">ENSG00000173467</a>",AGR3,20.9,1.8215412957043261e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174227"" target=""_blank"">ENSG00000174227</a>",PIGG,20.7,0.00028729832756252193
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000130600"" target=""_blank"">ENSG00000130600</a>",H19,19.7,1.2980204737861504e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163735"" target=""_blank"">ENSG00000163735</a>",CXCL5,18.9,9.469613416169891e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143061"" target=""_blank"">ENSG00000143061</a>",IGSF3,18.1,0.0900199153169598
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000031691"" target=""_blank"">ENSG00000031691</a>",CENPQ,18.1,1.834303849933381e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109113"" target=""_blank"">ENSG00000109113</a>",RAB34,17.5,9.75087557632e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143344"" target=""_blank"">ENSG00000143344</a>",RGL1,17.0,0.0140916835954242
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000139668"" target=""_blank"">ENSG00000139668</a>",WDFY2,17.0,0.039151955202998495
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103356"" target=""_blank"">ENSG00000103356</a>",EARS2,16.6,0.0283525758692929
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000146243"" target=""_blank"">ENSG00000146243</a>",IRAK1BP1,16.6,0.0023524177034018002
